State,Name,Subname,Stats 55% 100%,Leader Skill,Passive Name,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date,Ki Multiplier,DMG Multiplier
Base,Super Saiyan God SS Goku (Universe Tree Power),Darkness-Purging Universe Tree Power,"Base Max Lv 55% 100% | HP 2,622 8,654 10,654 13,654 | ATK 2,827 9,331 11,331 14,731 | DEF 1,449 4,782 6,782 9,382","""Dragon Ball Heroes"", ""Kamehameha"" or ""Power Beyond Super Saiyan"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Crossover"" Category",The Possibilities of This Universe,"Activates the Entrance Animation upon the character's entry (once only) and DEF +200% and launches an additional Super Attack for 4 turns from the character's entry turn, Ki +2 and ATK & DEF +150%, Plus an additional ATK +150% when attacking, Plus an additional DEF +40% with each attack performed (up to 200%), Launches an additional attack that has a great chance of becoming a Super Attack and randomly changes Ki Spheres of a certain Type (STR excluded) to STR Ki Spheres when there are 3 or more ""Crossover"" Category allies or an ally whose name includes ""Xeno"" on the team, Plus an additional ATK +50% for the rest of battle and great chance of guarding all attacks within the same turn with 3 or more Ki Spheres obtained, Plus an additional ATK +100% for the rest of battle and guards all attacks within the same turn with 5 or more Ki Spheres obtained, Plus an additional ATK +150% for the rest of battle with 7 or more Ki Spheres obtained, Plus an additional damage reduction of 40% when guard is activated","Active Skill Unyielding Fused Kamehameha Condition: Can be activated when there is an ally whose name includes ""Xeno"" attacking in the same turn, or starting from the 5th turn from the start of battle (once only) Massively raises ATK temporarily and causes ultimate damage to enemy; DEF +30% and all attacks become critical hits for 1 turn Animation: Ultimate Special","Raises ATK & DEF for 1 turn, causes immense damage to enemy and medium chance of performing a critical hit for 1 turn",,"Super Saiyan, Kamehameha, Shocking Speed, Warrior Gods, Godly Power, Prepared for Battle, Fierce Battle","Pure Saiyans, Goku's Family, Power Beyond Super Saiyan, Kamehameha, Realm of Gods, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Time Travelers, Accelerated Battle, Crossover, Dragon Ball Heroes",,"Nov 12, 2024",150%,505%
Base,Dark King Demigra (Power of Time Unleashed),Creation of a Dark World,"Base Max Lv 55% 100% | HP 2,684 8,859 10,859 13,459 | ATK 2,715 8,961 10,961 14,361 | DEF 1,558 5,142 7,142 10,142","""Demonic Power"" Category Ki +3 and HP, ATK & DEF +130%",True Power of the Dark Factor,"Ki +2 and ATK & DEF +240%, Plus an additional ATK & DEF +120% when performing a Super Attack, High chance of performing a critical hit, Reduces damage received by 40%, Plus an additional damage reduction of 20% when there is another ""Crossover"" or ""Demonic Power"" Category ally attacking in the same turn, Plus an additional damage reduction of 20% before attacking when all allies attacking in the same turn are Extreme Class, Plus an additional ATK +40% with each attack received (up to 240%), Plus an additional ATK & DEF +120% as the 1st attacker in a turn, Extreme Class allies' ATK +60% and chance of performing a critical hit +24% as the 2nd or 3rd attacker in a turn",,Greatly raises ATK for 1 turn and causes supreme damage to enemy; Extreme Class allies' DEF +30% for 1 turn (self excluded),,"Brainiacs, Big Bad Bosses, Revival, Master of Magic, Godly Power, Fear and Faith, Fierce Battle","Realm of Gods, Demonic Power, Resurrected Warriors, Time Travelers, Storied Figures, Crossover, Dragon Ball Heroes",,"Nov 12, 2024",150%,430%
Base,Aeos,Space-Time Selector,"Base Max Lv 55% 100% | HP 2,902 9,578 11,578 14,578 | ATK 2,541 8,386 10,386 13,386 | DEF 1,666 5,501 7,501 10,501","""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +130%",Aeos' Grand Mission,"ATK & DEF +120%, Plus an additional DEF +120% when receiving an attack, Plus an additional DEF +120% if there is another ""Crossover"" Category ally attacking in the same turn and when receiving an attack, plus an additional DEF +120%, All enemies' ATK & DEF -24% and medium chance of stunning all enemies at the start of turn, High chance of evading enemy's attack (including Super Attack), Plus an additional chance of evading enemy's attack (including Super Attack) +10% within the same turn and an additional ATK +60% (up to 240%) with each attack evaded (including Super Attack), All allies' Ki +2 and ATK & DEF +40%, plus an additional Ki +1 and ATK & DEF +24% for ""Crossover"" Category characters, Recovers 24% HP at the end of the turn in which an attack was received",,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",,"Telekinesis, More Than Meets the Eye, Solid Support, Cold Judgment, Master of Magic, Godly Power, Fierce Battle","Potara, Realm of Gods, Time Travelers, Storied Figures, Crossover, Dragon Ball Heroes",,"Nov 12, 2024",150%,430%
Base,Fu (Youth) (Dogidogi Fully Absorbed),Dark Barrier That Isolates All,"Base Max Lv 55% 100% | HP 2,404 7,936 9,936 12,536 | ATK 2,889 9,536 11,536 14,536 | DEF 1,480 4,885 6,885 10,285","""Time Travelers"" Category Ki +3 and HP, ATK & DEF +130%",The Universe Created by Fu,"Ki +2 and ATK & DEF +150%, Plus an additional ATK & DEF +50% and chance of performing a critical hit +20% per ""Crossover"" or ""Time Travelers"" Category ally attacking in the same turn, Plus an additional ATK & DEF +100% when performing a Super Attack, Launches an additional attack that has a high chance of becoming a Super Attack, Launches another additional attack that has a great chance of becoming a Super Attack and reduces damage received by 20% when there is another Extreme Class ally attacking in the same turn or when there is a Super Class enemy, Chance of performing a critical hit +20% (up to 40%) and reduces damage received by 20% (up to 40%) within the same turn with each Super Attack performed, High chance of changing all Ki Spheres to AGL & TEQ Ki Spheres starting from the 5th turn from the start of battle (once only)",,"Greatly raises ATK, greatly raises DEF for 1 turn and causes supreme damage with a high chance of stunning the enemy",,"Demonic Power, Brainiacs, Cold Judgment, Big Bad Bosses, Godly Power, Fear and Faith, Fierce Battle","Youth, Transformation Boost, Power Absorption, Realm of Gods, Demonic Power, Time Travelers, Battle of Wits, Accelerated Battle, Crossover, Dragon Ball Heroes",,"Nov 12, 2024",150%,380%
Base,Towa,Ambition to Rebuild the Demon Realm,"Base Max Lv 55% 100% | HP 2,236 9,869 11,069 12,869 | ATK 1,673 7,385 8,585 10,625 | DEF 2,186 9,647 10,847 12,407","""Dragon Ball Heroes"" Category Ki +3 and HP, ATK & DEF +77%; or STR Type Ki +3 and HP, ATK & DEF +50%",Extracted Dark Factor,"ATK & DEF +200%, Plus an additional ATK & DEF +150% when performing a Super Attack, High chance of evading enemy's attack (including Super Attack) as the 2nd or 3rd attacker in a turn, Plus an additional chance of evading enemy's attack (including Super Attack) +5% (up to 15%) with each attack evaded (including Super Attack), All allies' ATK & DEF +30% when there are another 3 or more Extreme Class allies on the team, All allies' ATK & DEF +15% for 2 turns after the character evades 3 or more attacks (including Super Attack) in battle when there are another 3 or more Extreme Class allies on the team (once only), Plus an additional ATK & DEF +100% when performing a Super Attack, all allies' Ki +2 and ATK & DEF +20% and changes AGL Ki Spheres to STR Ki Spheres when all allies are in the ""Dragon Ball Heroes"" or ""Crossover"" Category",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Demonic Power, Solid Support, Battlefield Diva, Master of Magic, Thirst for Conquest, Scientist, Shattering the Limit","Peppy Gals, Demonic Power, Siblings' Bond, Resurrected Warriors, Time Travelers, Terrifying Conquerors, Battle of Wits, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",135%,530%
Base,Super Saiyan Vegeta (Xeno),Confrontation with Unknown Enemies,"Base Max Lv 55% 100% | HP 2,872 12,678 14,678 17,678 | ATK 2,678 11,822 13,822 16,822 | DEF 1,512 6,673 8,673 11,673","""Vegeta's Family"" Category Ki +3 and HP, ATK & DEF +150%",Reliable Support,"ATK & DEF +150%, Guards all attacks and launches an additional Super Attack for 1 turn from the character's entry turn, Plus an additional ATK & DEF +150% when there is another ""Vegeta's Family"" or ""Dragon Ball Heroes"" Category ally on the team, ""Vegeta's Family"" Category allies' Ki +3 and ATK & DEF +50%, Plus an additional ATK +77% when performing a Super Attack and launches an additional attack that has a high chance of becoming a Super Attack if there is another ""Dragon Ball Heroes"" Category ally attacking in the same turn when attacking or an Extreme Class enemy when attacking",,"Greatly raises ATK & DEF, causes supreme damage to enemy and greatly lowers ATK",,"Super Saiyan, Royal Lineage, Prodigies, Patrol, Experienced Fighters, Prepared for Battle, Shattering the Limit","Pure Saiyans, Vegeta's Family, Super Saiyans, Worthy Rivals, Bond of Parent and Child, Gifted Warriors, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",140%,480%
Base,Super Saiyan Goku (Xeno),Fierce Battle for Space and Time,"Base Max Lv 55% 100% | HP 2,748 12,128 14,128 17,528 | ATK 2,778 12,262 14,262 17,262 | DEF 1,449 6,398 8,398 10,998","""Goku's Family"" Category Ki +3 and HP, ATK & DEF +150%",Greatest Support,"ATK & DEF +150%, Reduces damage received by 50% and launches an additional Super Attack for 1 turn from the character's entry turn, Plus an additional ATK & DEF +150% when there is another ""Goku's Family"" or ""Dragon Ball Heroes"" Category ally on the team, ""Goku's Family"" Category allies' Ki +3 and ATK & DEF +50%, Plus an additional ATK +77% when performing a Super Attack and launches an additional attack that has a high chance of becoming a Super Attack if there is another ""Dragon Ball Heroes"" Category ally attacking in the same turn when attacking or an Extreme Class enemy when attacking",,Greatly raises ATK & DEF and causes supreme damage with a great chance of stunning the enemy,,"Super Saiyan, The Saiyan Lineage, Kamehameha, Patrol, Experienced Fighters, Prepared for Battle, Shattering the Limit","Pure Saiyans, Goku's Family, Super Saiyans, Kamehameha, Bond of Parent and Child, Turtle School, Earth-Bred Fighters, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",140%,480%
Base,Super Saiyan 3 Gohanks (Xeno),Wishing for a Peaceful History,"Base Max Lv 55% 100% | HP 2,379 10,499 12,499 15,499 | ATK 2,845 12,558 14,558 17,558 | DEF 1,629 7,189 9,189 12,189","Super INT Type Ki +3 and HP, ATK & DEF +130%",Fusion of Master and Disciple,"ATK & DEF +150%, Plus an additional ATK +150% when performing a Super Attack, Plus an additional ATK & DEF +30% with each Super Attack performed (up to 150%), Launches 2 additional Super Attacks when there is another ""Crossover"" Category ally attacking in the same turn or when the target enemy is in ""ATK Down"" or ""DEF Down"" status, Performs a critical hit when there is another ""Super Saiyan 3"" Category ally attacking in the same turn",,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and seals Super Attack",,"Super Saiyan, Over in a Flash, Brainiacs, Shocking Speed, Fused Fighter, Cold Judgment, Shattering the Limit","Hybrid Saiyans, Super Saiyan 3, Power Beyond Super Saiyan, Fusion, Fused Fighters, Time Limit, Earth-Bred Fighters, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",140%,530%
Base,Super Saiyan 3 Gotenks (Xeno),Power to Overcome Crisis,"Base Max Lv 55% 100% | HP 2,505 11,056 13,056 15,656 | ATK 2,806 12,388 14,388 17,388 | DEF 1,613 7,118 9,118 12,518","Super AGL Type Ki +3 and HP, ATK & DEF +130%",Elusive Super Warrior,"ATK & DEF +150%, Plus an additional ATK +150% when performing a Super Attack, Plus an additional ATK & DEF +30% with each Super Attack performed (up to 150%), Launches 2 additional Super Attacks when there is another ""Crossover"" Category ally attacking in the same turn, when the target enemy is stunned or when the target enemy's Super Attack is sealed, Performs a critical hit when there is another ""Super Saiyan 3"" Category ally attacking in the same turn",,"Greatly raises ATK & DEF for 1 turn, causes supreme damage to enemy and lowers ATK & DEF",,"Super Saiyan, Over in a Flash, The Innocents, Shocking Speed, Fused Fighter, Kamehameha, Shattering the Limit","Hybrid Saiyans, Super Saiyan 3, Power Beyond Super Saiyan, Fusion, Fused Fighters, Kamehameha, Time Limit, Earth-Bred Fighters, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",140%,530%
Base,Super Saiyan Vegeks (Xeno),Morale-Lifting Father-Son Fusion,"Base Max Lv 55% 100% | HP 2,410 10,637 12,637 15,637 | ATK 2,895 12,778 14,778 18,178 | DEF 1,549 6,839 8,839 11,439","STR Type Ki +3 and HP, ATK & DEF +100%",Father and Son's Morale,"ATK & DEF +150%, Plus an additional ATK & DEF +150% when performing a Super Attack, Plus an additional ATK +30% (up to 150%) and chance of performing a critical hit +20% with each Super Attack performed, Ki +2 and launches an additional attack that has a high chance of becoming a Super Attack when there is another ""Crossover"" or ""Super Saiyans"" Category ally attacking in the same turn, All attacks become critical hits and launches an additional Super Attack when the target enemy is in ""ATK Down"" status, in ""DEF Down"" status, stunned or the target enemy's Super Attack is sealed",,"Greatly raises DEF, raises ATK for 1 turn and causes supreme damage to enemy",,"Super Saiyan, The Saiyan Lineage, Royal Lineage, Shocking Speed, Fused Fighter, Power Bestowed by God, Shattering the Limit","Super Saiyans, Potara, Fused Fighters, Time Limit, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",140%,530%
Base,Pan (Xeno),Adventure in Another World,"Base Max Lv 55% 100% | HP 2,373 10,475 12,475 15,475 | ATK 2,914 12,862 14,862 17,862 | DEF 1,464 6,465 8,465 11,465","""Crossover"" Category Ki +3 and HP, ATK & DEF +170%",Energetic Girl,"ATK & DEF +140%, Plus an additional ATK & DEF +70% when performing a Super Attack, ""Crossover"" Category allies' Ki +3 and ATK & DEF +40%, plus an additional ATK & DEF +20% for characters who also belong to the ""Dragon Ball Heroes"" Category, Great chance of performing a critical hit, Great chance of evading enemy's attack (including Super Attack), Plus an additional DEF +70% within the same turn with each attack evaded (including Super Attack), Plus an additional ATK & DEF +70% and all allies' chance of performing a critical hit +15% per ""Crossover"" Category ally (self excluded) attacking in the same turn",,Greatly raises ATK & DEF for 1 turn and causes supreme damage with a high chance of stunning the enemy,,"The Innocents, All in the Family, The Saiyan Lineage, Battlefield Diva, Patrol, More Than Meets the Eye, Fierce Battle","Hybrid Saiyans, Goku's Family, Youth, Bond of Parent and Child, Earth-Bred Fighters, Time Travelers, Defenders of Justice, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",140%,530%
Base,Super Saiyan God Trunks (Xeno),Divine Warrior Who Protects Space and Time,"Base Max Lv 55% 100% | HP 2,840 12,535 14,535 17,135 | ATK 2,989 13,191 15,191 18,591 | DEF 1,138 5,023 7,023 10,023","""Dragon Ball Heroes"" Category Ki +4 and HP, ATK & DEF +180%",Protector of Gods,"Ki +1 and ATK & DEF +50% per ""Dragon Ball Heroes"" or ""Time Travelers"" Category ally on the team (depending on which Category has more members), Plus an additional ATK & DEF +100% and great chance of performing a critical hit when performing a Super Attack, Plus an additional DEF +50% when performing a Super Attack and randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres if all allies attacking in the same turn are ""Dragon Ball Heroes"" or ""Time Travelers"" Category characters, Launches 2 additional attacks, each of which has a high chance of becoming a Super Attack, if all allies are ""Dragon Ball Heroes"" or ""Time Travelers"" Category characters",,"Greatly raises ATK & DEF for 1 turn, causes immense damage to enemy and seals Super Attack",,"Warrior Gods, Super Saiyan, Cold Judgment, Patrol, Prepared for Battle, Godly Power, Fierce Battle","Hybrid Saiyans, Vegeta's Family, Power Beyond Super Saiyan, Realm of Gods, Power of Wishes, Miraculous Awakening, Bond of Parent and Child, Bond of Master and Disciple, Earth-Bred Fighters, Time Travelers, Legendary Existence, Defenders of Justice, Entrusted Will, Battle of Wits, Crossover, Dragon Ball Heroes",,"Nov 6, 2024",150%,630%
